館別,展覽名稱,展覽日期,start_date,end_date,is_permanent,展覽主題,展覽連結,展覽圖片,展覽地點,展覽時間,展覽類別,備註
國立故宮博物院,看得見的紅樓夢,2024-05-17~2027-08-15,2024-05-17,2027-08-15,0,#陶瓷　#玉器　#珍玩　#圖書文獻　#器物,https://www.npm.gov.tw/Exhibition-Content.aspx?sno=04013668&l=1&type=&cat=,https://www.npm.gov.tw/NewFileAtt.ashx?name=exbitBig/04013668/34056340.jpg,北部院區　第一展覽館203,,#陶瓷　#玉器　#珍玩　#圖書文獻　#器物,
國立故宮博物院,祀與戎：古代兵器攻略,2023-12-01~2026-08-09,2023-12-01,2026-08-09,0,#玉器　#銅器　#器物,https://www.npm.gov.tw/Exhibition-Content.aspx?sno=04013529&l=1&type=&cat=,https://www.npm.gov.tw/NewFileAtt.ashx?name=exbitBig/04013529/34055852.jpg,北部院區　第一展覽館304,,#玉器　#銅器　#器物,
國立故宮博物院,愛硯成痴特展,2023-09-28~2027-05-25,2023-09-28,2027-05-25,0,#陶瓷　#玉器　#珍玩　#圖書文獻　#器物,https://www.npm.gov.tw/Exhibition-Content.aspx?sno=04013438&l=1&type=&cat=,https://www.npm.gov.tw/NewFileAtt.ashx?name=exbitBig/04013438/34055622.jpg,北部院區　第一展覽館303,,#陶瓷　#玉器　#珍玩　#圖書文獻　#器物,
國立故宮博物院,華麗魔法屋─故宮的洛可可珍藏,2021-12-24~,2021-12-24,,1,#器物,https://www.npm.gov.tw/Exhibition-Content.aspx?sno=04012832&l=1&type=&cat=,https://www.npm.gov.tw/NewFileAtt.ashx?name=exbitBig/04012832/34054063.jpg,"北部院區　第一展覽館300,301",,#器物,
國立故宮博物院,經典之美—新媒體藝術展,2021-11-02~,2021-11-02,,1,#數位新媒體,https://www.npm.gov.tw/Exhibition-Content.aspx?sno=04011058&l=1&type=&cat=,https://www.npm.gov.tw/NewFileAtt.ashx?name=exbitBig/04011058/34053253.jpg,北部院區　第一展覽館210,,#數位新媒體,
國立故宮博物院,兒童學藝中心,2020-07-01~,2020-07-01,,1,#繪畫　#數位新媒體　#器物,https://www.npm.gov.tw/Exhibition-Content.aspx?sno=04013724&l=1&type=&cat=,https://www.npm.gov.tw/NewFileAtt.ashx?name=exbitBig/04013724/34056526.jpg,北部院區　第一展覽館B1,,#繪畫　#數位新媒體　#器物,
國立故宮博物院,導覽大廳,2020-05-27~,2020-05-27,,1,#書法　#繪畫　#圖書文獻　#數位新媒體　#器物,https://www.npm.gov.tw/Exhibition-Content.aspx?sno=04011292&l=1&type=&cat=,https://www.npm.gov.tw/NewFileAtt.ashx?name=exbitBig/04011292/34053241.jpg,北部院區　第一展覽館102,,#書法　#繪畫　#圖書文獻　#數位新媒體　#器物,
國立故宮博物院,貴冑榮華─清代宮廷的日常風景,2020-05-01~,2020-05-01,,1,#珍玩　#器物,https://www.npm.gov.tw/Exhibition-Content.aspx?sno=04011291&l=1&type=&cat=,https://www.npm.gov.tw/NewFileAtt.ashx?name=exbitBig/04011291/34053242.jpg,北部院區　第一展覽館108,,#珍玩　#器物,
國立故宮博物院,南北故宮　國寶薈萃,2017-11-02~,2017-11-02,,1,#珍玩,https://www.npm.gov.tw/Exhibition-Content.aspx?sno=04009612&l=1&type=&cat=,https://www.npm.gov.tw/NewFileAtt.ashx?name=exbitBig/04009612/34053243.jpg,北部院區　第一展覽館302,,#珍玩,
國立故宮博物院,集瓊藻—院藏珍玩精華展,常設展,,,1,#珍玩,https://www.npm.gov.tw/Exhibition-Content.aspx?sno=04005700&l=1&type=&cat=,https://www.npm.gov.tw/NewFileAtt.ashx?name=exbitBig/04005700/34053244.jpg,北部院區　第一展覽館106,,#珍玩,
國立故宮博物院,敬天格物—院藏玉器精華展,常設展,,,1,#玉器,https://www.npm.gov.tw/Exhibition-Content.aspx?sno=04000590&l=1&type=&cat=,https://www.npm.gov.tw/NewFileAtt.ashx?name=exbitBig/04000590/34053245.jpg,"北部院區　第一展覽館306,308",,#玉器,
國立故宮博物院,吉金耀采—院藏銅器精華展,常設展,,,1,#銅器,https://www.npm.gov.tw/Exhibition-Content.aspx?sno=04000576&l=1&type=&cat=,https://www.npm.gov.tw/NewFileAtt.ashx?name=exbitBig/04000576/34053248.jpg,"北部院區　第一展覽館305,307",,#銅器,
國立故宮博物院,摶泥幻化—院藏陶瓷精華展,常設展,,,1,#陶瓷,https://www.npm.gov.tw/Exhibition-Content.aspx?sno=04000569&l=1&type=&cat=,https://www.npm.gov.tw/NewFileAtt.ashx?name=exbitBig/04000569/34053249.jpg,"北部院區　第一展覽館201,205,207",,#陶瓷,
國立故宮博物院,慈悲與智慧—宗教雕塑藝術,常設展,,,1,#銅器,https://www.npm.gov.tw/Exhibition-Content.aspx?sno=04000459&l=1&type=&cat=,https://www.npm.gov.tw/NewFileAtt.ashx?name=exbitBig/04000459/34053221.jpg,北部院區　第一展覽館101,,#銅器,
台北當代藝術館,宇宙寫生—豪華朗機工個展,10 / 04Sat. - 01 / 11Sun.,2025-10-04,2026-01-11,0,,https://www.moca.taipei/tw/ExhibitionAndEvent/Info/%E5%AE%87%E5%AE%99%E5%AF%AB%E7%94%9F%E2%80%94%E8%B1%AA%E8%8F%AF%E6%9C%97%E6%A9%9F%E5%B7%A5%E5%80%8B%E5%B1%95,https://www.moca.taipei/upload/2025_09_043/202509041015487frej42gV2.jpg,,,,
台北當代藝術館,三廳電影—總體敘事,10 / 23Thu. - 02 / 15Sun.,2025-10-23,2026-02-15,0,,https://www.moca.taipei/tw/ExhibitionAndEvent/Info/%E4%B8%89%E5%BB%B3%E9%9B%BB%E5%BD%B1%E2%80%94%E7%B8%BD%E9%AB%94%E6%95%98%E4%BA%8B,https://www.moca.taipei/upload/2025_10_213/202510211449096j7symLnU2.jpg,哥倫比亞波哥大現代美術館,,,
台北當代藝術館,無中生有料理站,10 / 18Sat. - 12 / 07Sun.,2025-10-18,2025-12-07,0,,https://www.moca.taipei/tw/ExhibitionAndEvent/Info/%E7%84%A1%E4%B8%AD%E7%94%9F%E6%9C%89%E6%96%99%E7%90%86%E7%AB%99,https://www.moca.taipei/upload/2025_10_073/20251007151058pwbpnsUsA3.jpg,,,,
台北當代藝術館,破浪之際的臺灣：過去與未來的前線,11 / 15Sat. - 03 / 29Sun.,2025-11-15,2026-03-29,0,,https://www.moca.taipei/tw/ExhibitionAndEvent/Info/%E7%A0%B4%E6%B5%AA%E4%B9%8B%E9%9A%9B%E7%9A%84%E8%87%BA%E7%81%A3%EF%BC%9A%E9%81%8E%E5%8E%BB%E8%88%87%E6%9C%AA%E4%BE%86%E7%9A%84%E5%89%8D%E7%B7%9A,https://www.moca.taipei/upload/2025_11_103/20251110163842uikmx7v1A5.jpg,路德維希當代藝術館,,,
台北當代藝術館,2025關渡國際動畫節X台北當代藝術館─藝術串聯計劃,11 / 15Sat. - 12 / 28Sun.,2025-11-15,2025-12-28,0,,https://www.moca.taipei/tw/ExhibitionAndEvent/Info/2025%E9%97%9C%E6%B8%A1%E5%9C%8B%E9%9A%9B%E5%8B%95%E7%95%AB%E7%AF%80X%E5%8F%B0%E5%8C%97%E7%95%B6%E4%BB%A3%E8%97%9D%E8%A1%93%E9%A4%A8%E2%94%80%E8%97%9D%E8%A1%93%E4%B8%B2%E8%81%AF%E8%A8%88%E5%8A%83,https://www.moca.taipei/upload/2025_11_063/20251106143811180y8lj6d5.jpg,MoCA Video,,,
華山1914文化創意產業園區,樂園星球PLANET PARK-全境式互動樂園,202511.01(六) - 202512.17(三),2025-11-01,2025-12-17,0,,https://www.huashan1914.com/w/huashan1914/exhibition_25062714454943100,https://media.huashan1914.com/WebUPD/huashan1914/exhibition/1920x1080_25070413552160477.jpg,東3A館,11:00 AM - 1:30 PM,,
華山1914文化創意產業園區,流浪蓋婭號   WANDERING GAIA,202511.01(六) - 202512.17(三),2025-11-01,2025-12-17,0,,https://www.huashan1914.com/w/huashan1914/exhibition_24112018320160153,https://media.huashan1914.com/WebUPD/huashan1914/exhibition/1200x800_24112018255398011.jpg,東3A館,1:30 PM - 5:00 PM,,
華山1914文化創意產業園區,華山好市 發生好事【2025與I之間】展覽＆市集,202512.13(六) - 202512.31(三),2025-12-13,2025-12-31,0,,https://www.huashan1914.com/w/huashan1914/exhibition_25120216035499563,https://media.huashan1914.com/WebUPD/huashan1914/exhibition/%E4%B8%BB%E8%A6%96%E8%A6%BA%E5%90%84%E5%B0%BA%E5%AF%B8_1200x462.jpg,,11:00 AM - 5:00 PM,,
華山1914文化創意產業園區,錯落有至HualienＸ光之島 百工Crafting from Life 主題特展,202510.01(三) - 202601.05(一),2025-10-01,2026-01-05,0,,https://www.huashan1914.com/w/huashan1914/exhibition_25093018482000304,https://media.huashan1914.com/WebUPD/huashan1914/exhibition/%E8%8F%AF%E5%B1%B1%E5%AE%A3%E5%82%B3_1920x1080px.png,中4B館1F-3.4(芳釀所),11:00 AM - 9:00 PM,,
華山1914文化創意產業園區,十年磨一建_望北茶亭aka空中茶屋 2025開放計劃,202505.08(四) - 202512.31(三),2025-05-08,2025-12-31,0,,https://www.huashan1914.com/w/huashan1914/exhibition_25060412050828575,https://media.huashan1914.com/WebUPD/huashan1914/exhibition/2025%E5%8D%81%E5%B9%B4%E7%A3%A8%E4%B8%80%E5%BB%BA_1920x1080px_0.jpg,望北茶亭,,,
富邦美術館,《富邦典藏展》,2025.10.23 - 2026.4.20,2025-10-23,2026-04-20,0,,https://www.fubonartmuseum.org/ExhibitionDetail?PKNO=X0087XPM,https://backend.fubonartmuseum.org/Data/FUBON/Images/Exhibition/X0087XPM/PictureKeyVision/2_2592%20x%201458.jpg,富邦美術館-3樓 日光展廳、星光展廳,,,
富邦美術館,《步入永恆：賈科梅蒂、米羅、考爾德》,2025.12.24 - 2026.4.20,2025-12-24,2026-04-20,0,,https://www.fubonartmuseum.org/ExhibitionDetail?PKNO=X0088P8G,https://backend.fubonartmuseum.org/Data/FUBON/Images/Exhibition/X0088P8G/Cover/%E6%AD%A5%E5%85%A5%E6%B0%B8%E6%81%86-1105-IG.jpg,富邦美術館-1樓 水景展廳,,,
臺北市立美術館,2025台北雙年展「地平線上的低吟」,2025/11/01 - 2026/03/29,2025-11-01,2026-03-29,0,,https://www.tfam.museum/Exhibition/Exhibition_Special.aspx?ddlLang=zh-tw&id=802,https://www.tfam.museum/File/Exhibition/Main/802/2025101614091015960297.jpg,一樓1A~1B、二樓2A~2B、地下樓D~E~F,2025/11/01 - 2026/03/29,,
臺北市立美術館,北美館開放網絡計畫 TFAM Net.Open│消失的反動,2025/09/19 - 2026/08/31,2025-09-19,2026-08-31,0,,https://www.tfam.museum/Exhibition/Exhibition_Special.aspx?ddlLang=zh-tw&id=800,https://www.tfam.museum/File/Exhibition/Main/800/2025090416212129180397.jpg,,2025/09/19 - 2026/08/31,,
臺北市立美術館,我們總是需要為世界創造出更新的故事,2025/01/18 - 2025/12/21,2025-01-18,2025-12-21,0,,https://www.tfam.museum/Exhibition/Exhibition_Special.aspx?ddlLang=zh-tw&id=784,https://www.tfam.museum/File/Exhibition/Main/784/2025011409171161250191.jpg,南進門廊道,2025/01/18 - 2025/12/21,,
臺北市立美術館,痕跡悄悄話,2025/09/27 - 2026/02/22,2025-09-27,2026-02-22,0,,https://www.tfam.museum/Exhibition/Exhibition_Special.aspx?ddlLang=zh-tw&id=799,https://www.tfam.museum/File/Exhibition/Main/799/2025081821451320410292.jpg,兒童藝術教育中心,2025/09/27 - 2026/02/22,,
國立臺灣師範大學-師大美術館,心象繪畫──高行健,2025/09/23 Tue.－,2025-09-23,,1,,https://www.artmuse.ntnu.edu.tw/index.php/2025visioninterieure/,https://www.artmuse.ntnu.edu.tw/wp-content/uploads/elementor/thumbs/1221高行健_工作區域-1-scaled-retgoxo0kark3qe4u6sx8pn2fv82m09xoarolclnpc.png,師大美術館展廳一、二 (臺北市大安區和平東路一段129號 和平校區Ⅱ),2025/09/23 Tue.－,,
國立臺灣師範大學-師大美術館,時光逆旅：文物修護的美學與實踐,2024/7/1（二）起,2024-07-01,,1,,https://www.artmuse.ntnu.edu.tw/index.php/elementor-10351/,https://www.artmuse.ntnu.edu.tw/wp-content/uploads/elementor/thumbs/EDM_A款_20250627-r85qfot4tmlyctuutjwsck7f94yzrei6vb16lon680.jpg,師大美術館 展廳4,2024/7/1（二）起,,
